"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Visualizing Model Behaviors for Clinic Users: Explaining A Clinical Prediction Model for 30-day Readmission after Inpatient Alcohol Dependence Treatment","O. S. Liang; C. C. Yang; K. Gliske; J. Braughton; Q. Ngo","College of Computing and Informatics, Drexel University, Philadelphia, U.S.A; College of Computing and Informatics, Drexel University, Philadelphia, U.S.A; Butler Center for Research, Hazelden Betty Ford Foundation, Center City, U.S.A; Butler Center for Research, Hazelden Betty Ford Foundation, Center City, U.S.A; Butler Center for Research, Hazelden Betty Ford Foundation, Center City, U.S.A",2024 IEEE 12th International Conference on Healthcare Informatics (ICHI),"22 Aug 2024","2024","","","718","724","Machine learning models for predicting alcohol use relapse lack adequate explanations. This study aims to utilize visualization techniques to (1) highlight a machine learning model's predictive reasoning and biases; and (2) to identify the risk factors associated with readmission following inpatient treatment for alcohol use disorder. Our visualizations show that first, the model was reliable in its negative predictions but had difficulty in correctly identifying positive instances with missing variable values; second, a history of multiple treatments may distinguish otherwise similar instances; and third, highly impactful risk factors for 30-day readmission included a history of multiple treatments and lower participation in treatment. The visualizations when considered together could help clinical users understand model biases.","2575-2634","979-8-3503-8373-7","10.1109/ICHI61247.2024.00114","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628804","explainable artificial intelligence;visualization;model bias;clinical prediction model;alcohol use disorder;relapse","Visualization;Machine learning;Mental health;Medical services;Predictive models;Cognition;History","","","","32","IEEE","22 Aug 2024","","","IEEE","IEEE Conferences"
"The Role of Text in Visualizations: How Annotations Shape Perceptions of Bias and Influence Predictions","C. Stokes; C. X. Bearfield; M. A. Hearst","University of California Berkeley, Berkeley, CA, USA; Georgia Institute of Technology, Atlanta, GA, USA; University of California Berkeley, Berkeley, CA, USA",IEEE Transactions on Visualization and Computer Graphics,"4 Sep 2024","2024","30","10","6787","6800","This paper investigates the role of text in visualizations, specifically the impact of text position, semantic content, and biased wording. Two empirical studies were conducted based on two tasks (predicting data trends and appraising bias) using two visualization types (bar and line charts). While the addition of text had a minimal effect on how people perceive data trends, there was a significant impact on how biased they perceive the authors to be. This finding revealed a relationship between the degree of bias in textual information and the perception of the authors’ bias. Exploratory analyses support an interaction between a person's prediction and the degree of bias they perceived. This paper also develops a crowdsourced method for creating chart annotations that range from neutral to highly biased. This research highlights the need for designers to mitigate potential polarization of readers’ opinions based on how authors’ ideas are expressed.","1941-0506","","10.1109/TVCG.2023.3338451","Allen Institute for Artificial Intelligence; NSF(grant numbers:IIS-2237585,IIS-2311575); National Science Foundation Graduate Research Fellowship Program(grant numbers:DGE 2146752); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10337772","Annotation;judgment;perceived bias;prediction;text;visualization","Ear;Annotations;Appraisal;Data visualization;Voting;Task analysis;Market research","","","","50","IEEE","1 Dec 2023","","","IEEE","IEEE Journals"
"Human machine interface in the Internet of Things (IoT)","J. Nuamah; Y. Seong","Department of Industrial and Systems Engineering, North Carolina A&T State University, Greensboro, NC, USA; Department of Industrial and Systems Engineering, North Carolina A&T State University, Greensboro, NC, USA",2017 12th System of Systems Engineering Conference (SoSE),"31 Jul 2017","2017","","","1","6","Humans would play a central role in IoT systems. The human operator represents one of the most vulnerable in the IoT system, one who can easily be overlooked. In the present study, we sought to accentuate human-in-the-loop issues in System of Systems, and in particular IoT systems through reviewing relevant literature from various perspectives. Some of the issues we highlighted include information visualization, cognition and human trust in intelligent systems. We also explained how neuroergonomics approaches may be employed together with traditional behavioral and subjective measures to improve human-IoT device interactions.","","978-1-5090-5945-4","10.1109/SYSOSE.2017.7994979","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7994979","Human-in-the-loop;Internet of Things (IoT);Information Visualization;Trust;Neuroergonomics","Data integration;Automation;Human computer interaction;Data visualization;Internet of Things;Wireless sensor networks","","18","","48","IEEE","31 Jul 2017","","","IEEE","IEEE Conferences"
"Visualizing non-functional requirements","N. A. Ernst; Y. Yu; J. Mylopoulos","Department of Computer Science, University of Toronto, Toronto, Canada; Department of Computer Science, University of Toronto, Toronto, Canada; Department of Computer Science, University of Toronto, Toronto, Canada",2006 First International Workshop on Requirements Engineering Visualization (REV'06 - RE'06 Workshop),"11 Dec 2006","2006","","","2","2","Information systems can be visualized with many tools. Typically these tools present functional artifacts from various phases of the development life-cycle; these include requirements models, architecture and design diagrams, and implementation code. The syntactic structures of these artifacts are often presented in a textual language using symbols, or a graphical one using nodes and edges. In this paper, we propose a quality-based visualization scheme. Such a scheme is layered on top of these functional artifacts for presenting non-functional aspects of the system. To do this, we use quantified quality attributes. As an example, we visualize the quality attributes of trust and performance among various nonfunctional requirements of information systems.","","0-7695-2711-6","10.1109/REV.2006.10","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4026783","quality attributes visualization;nonfunctional;requirements;tradeoffs;performance;trust","Visualization;Software tools;Unified modeling language;Software systems;Software quality;Information systems;Open source software;Scattering;Information security;Software performance","","17","","29","IEEE","11 Dec 2006","","","IEEE","IEEE Conferences"
"Building Confidence in Information-Trustworthiness Metrics for Decision Support","J. R. C. Nurse; I. Agrafiotis; S. Creese; M. Goldsmith; K. Lamberts","Department of Psychology, University of Warwick, UK; Department of Computer Science, University of Oxford, UK; Department of Computer Science, University of Oxford, UK; Department of Computer Science, University of Oxford, UK; Department of Psychology, University of Warwick, UK","2013 12th IEEE International Conference on Trust, Security and Privacy in Computing and Communications","12 Dec 2013","2013","","","535","543","In light of the significant amount of information available online today and its potential application to a range of situations, the importance of identifying trustworthy information, and secondly, of building user confidence in that information is paramount. With this in mind, we have developed a novel trustworthiness metric which is designed to provide a relative score based on several key factors that influence trust, such as information's provenance and quality, and the integrity of the infrastructure through which the information passes. In this paper we consider whether providing insight into the various factors that make-up the resulting trustworthiness score actually helps to build trust in the metric itself, and whether users can successfully understand the advice being conveyed. Specifically, we present here the results of experiments which explore whether or not the visual interface that enables users to understand how the metric is composed of a combination of scores, across a range of factors, is a feature they are cognitively able to process, and whether it might help to build confidence in the trustworthiness advice being provided.","2324-9013","978-0-7695-5022-0","10.1109/TrustCom.2013.6","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6680884","Trust metrics;trustworthiness visualisation;decision-making;risk communication;information quality","Context;Buildings;Interviews;Visualization;Atmospheric measurements;Particle measurements","","9","","23","IEEE","12 Dec 2013","","","IEEE","IEEE Conferences"
"Understanding Cancer-Based Networks in Twitter Using Social Network Analysis","D. Murthy; A. Gross; D. Oliveira","Sociology Department, Social Innovation Laboratory, Bowdoin College, Brunswick, ME, USA; Sociology Department, Social Innovation Laboratory, Bowdoin College, Brunswick, ME, USA; Computer Science Department, Bowdoin College, Brunswick, ME, USA",2011 IEEE Fifth International Conference on Semantic Computing,"27 Oct 2011","2011","","","559","566","Web-based social media networks have an increasing frequency of health-related information, resources, and networks (both support and professional). Although we are aware of the presence of these health networks, we do not yet know their ability to (1) influence the flow of health-related behaviors, attitudes, and information and (2) what resources have the most influence in shaping particular health outcomes. Lastly, the health research community lacks easy-to-use data gathering tools to conduct applied research using data from social media websites. In this position paper we discuss and sketch our current work on addressing fundamental questions about information flow in cancer-related social media networks by visualizing and understanding authority, trust, and cohesion. We discuss the development of methods to visualize these networks and information flow on them using real-time data from the social media website Twitter and how these networks influence health outcomes by examining responses to specific health messages.","","978-1-4577-1648-5","10.1109/ICSC.2011.51","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6061372","social network analysis;virtual social networks;cancer-based Twitter networks;data visualization;trust inference;information-flow","Twitter;Cancer;Media;Data visualization;Peer to peer computing","","7","","67","IEEE","27 Oct 2011","","","IEEE","IEEE Conferences"
"Digital Evolution: blockchain field research","C. Bernardino; C. J. Costa; M. Aparício","ISEG – Lisbon School of Economics & Management, University of Lisbon, Lisbon, Portugal; Advance/CSG, ISEG – Lisbon School of Economics & Management, University of Lisbon, Lisbon, Portugal; NOVA Information Management School (NOVA IMS), Universidade Nova de Lisboa, Lisbon, Portugal",2022 17th Iberian Conference on Information Systems and Technologies (CISTI),"14 Jul 2022","2022","","","1","6","Blockchain is a relatively new technology supported by a decentralized database that received special attention at the research level in the last years due to its fundamental characteristics. Numerous researchers have applied blockchain studies in many fields, but the scope is very large and there is no delimitation of new and emergent trends. The method used to better understand the evolution and impact of blockchain technology was a bibliometric analysis. A search was conducted at digital Elsevier’s database with a single keyword blockchain, and 23383 articles were collected. The study uses cluster analysis method, allowing to construct and visualize bibliometric networks and to build co-occurrences networks. The results indicate that there are positive correlations between countries, that China and the United States are part of the most influential cluster. Indicates also emerging developments in the areas of governance, industry, decision-making processes, management, internet of things, information security, and a new hot topic, energy.","2166-0727","978-9-8933-3436-2","10.23919/CISTI54924.2022.9820035","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9820035","Blockchain;management;trust;bibliometrics;processes;keyword networks;visualization networks","Industries;Text mining;Correlation;Databases;Bibliometrics;Information security;Market research","","5","","26","","14 Jul 2022","","","IEEE","IEEE Conferences"
"Trust in the European Central Bank: Using Data Science and predictive Machine Learning Algorithms","A. Skirka; B. Adamyk; O. Adamyk; M. Valytska","Department of Banking, Ternopil National Economic University, Ternopil, Ukraine; Department of Banking, Ternopil National Economic University, Ternopil, Ukraine; Department of Economic and Audit, Ternopil National Economic University, Ternopil, Ukraine; Ternopil Volodymyr Hnatiuk, National Pedagogical University, Ternopil, Ukraine",2020 10th International Conference on Advanced Computer Information Technologies (ACIT),"30 Sep 2020","2020","","","356","361","Purpose: This empirical scientific research project aims to apply data science and machine learning tools to determine the influence of different factors on the level of trust in the European Central Bank. This research based on the data from the European Commission's Eurobarometer Survey 89. The paper also aims to represent some predictive analytics techniques to anticipate the level of confidence towards cental bank. Besides that, we build a couple of data visualizing plots, in order to show the main significant impact on the dependent variable. We created the ECB TrustMap Plot, correlation heatmap matrix and Alluvial diagram. Using this plots, we represented changes in network structure over people responses and decision making. Methodology: to calculate the index of trust in the central bank we used Logistic Regressioin, Decision Tree, Random Forrest and Neural Network models. Verify the output and results by using the VIF of the Logistic Model, Cross-validation, Confusion matrix, ROC-curves and accuracy estimations. Main Findings: trust in one-single currency, inflation problems, expectations about the future of EU, indicator of happiness and other indicators has a significant impact on the the level of trust in the central bank.","","978-1-7281-6760-2","10.1109/ACIT49673.2020.9208857","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9208857","Data Science;Machine Learning Algorithms;data visualization;predictive analytics;trust;central bank","Europe;Banking;Machine learning algorithms;Economics;Logistics;Correlation;Data visualization","","3","","10","IEEE","30 Sep 2020","","","IEEE","IEEE Conferences"
"Analysis of Trust in Ukrainian banks based on Machine Learning Algorithms","B. Adamyk; A. Skirka; K. Snihur; O. Adamyk","Department of Banking, Ternopil National Economic University, Ternopil, Ukraine; Department of Banking, Ternopil National Economic University, Ternopil, Ukraine; Ivano-Frankivsk Education and Research Institute of Management Ternopil National Economic University, Ivano-Frankivsk, Ukraine; Department of Economic Evaluation and Business Audit, Ternopil National Economic University, Ternopil, Ukraine",2019 9th International Conference on Advanced Computer Information Technologies (ACIT),"1 Aug 2019","2019","","","234","239","Purpose: This paper aims to conduct a thorough analysis to determine the influence of several possible factors on the level of confidence in Ukrainian banks. This scientific research project is based on data from the World Values Survey (WVS). The paper also aims to empirically investigate a number of independent variables, that creates trust in banks, based on Machine Learning Algorithms. Besides that, use some of the predictive analytics techniques to anticipate the level of trust in Ukrainian banks. Methodology: to calculate the index of Confidence in Banks var., by using linear regression, logistic regression (as a robustness check), Random Forrest, Decision Tree and XGBoost Models. Verify the output and results by using the Residual graphs, Cross-validation, Confusion matrix, ROC and model accuracy estimations. Main Findings: age, level of financial satisfaction, scale income and life satisfaction, general trust, lack of cash and other indicators has a significant impact on the the level of trust in Ukrainian banks. This paper represents a number and probability value of the variables spectrum; effect plots and other visualization graphs.","","978-1-7281-0450-8","10.1109/ACITT.2019.8779974","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8779974","trust in banks;data science;Machine Learning Algorithm;data visualization;deposit guarantee;bank run","Banking;Biological system modeling;Data visualization;Machine learning algorithms;Economics;Education;Linear regression","","3","","8","IEEE","1 Aug 2019","","","IEEE","IEEE Conferences"
"Visualizing and Aggregating Behavior for Trust Evaluation","G. Hadjichristofi; G. Varveris","Department of Computer Science and Engineering, European University Cyprus, Nicosia, Cyprus; Department of Electrical and Computer Engineering and Informatics, Frederick University, Nicosia/Limassol, Cyprus",2019 IEEE 24th International Workshop on Computer Aided Modeling and Design of Communication Links and Networks (CAMAD),"7 Oct 2019","2019","","","1","6","The Internet of Things or more broadly the Internet of Everything is becoming a possibility in the near future. A vast number of entities (i.e., devices, people, processes etc.) will require to connect to the Internet. These communications could be facilitated by new technologies, such as 5G communication, which aim to be faster by providing higher bandwidth guarantees. This higher network capacity will increase exponentially the volume of data that could be extracted from the Internet regarding individual user or entities' behavior and concurrently the number of attacks that could be deployed. Thus, it is becoming increasing challenging to evaluate the trustworthiness of entities on the Internet. The contribution of this paper is a new methodology of aggregating behavior that aids in evaluating individual trust. We introduce a basic methodology for calculating Trust, which is later extended through clustering of malicious events. Based on the proposed methodology, a GUI is implemented that allows the quick and easy visualization of malicious behavior with the corresponding trust calculation. Overall, this work aims to support existing trust models in terms of aggregating behavior and translating it into trustworthiness.","2378-4873","978-1-7281-1016-5","10.1109/CAMAD.2019.8858434","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8858434","behavior;visualization;trust","Mathematical model;Internet of Things;Measurement;Computer hacking;5G mobile communication;Graphical user interfaces","","2","","13","IEEE","7 Oct 2019","","","IEEE","IEEE Conferences"
"Swaying the Public? Impacts of Election Forecast Visualizations on Emotion, Trust, and Intention in the 2022 U.S. Midterms","F. Yang; M. Cai; C. Mortenson; H. Fakhari; A. D. Lokmanoglu; J. Hullman; S. Franconeri; N. Diakopoulos; E. C. Nisbet; M. Kay","Northwestern University, USA; Northwestern University, USA; Northwestern University, USA; Northwestern University, USA; Northwestern University, USA; Northwestern University, USA; Northwestern University, USA; Northwestern University, USA; Northwestern University, USA; Northwestern University, USA",IEEE Transactions on Visualization and Computer Graphics,"25 Dec 2023","2024","30","1","23","33","We conducted a longitudinal study during the 2022 U.S. midterm elections, investigating the real-world impacts of uncertainty visualizations. Using our forecast model of the governor elections in 33 states, we created a website and deployed four uncertainty visualizations for the election forecasts: single quantile dotplot (1-Dotplot), dual quantile dotplots (2-Dotplot), dual histogram intervals (2-Interval), and Plinko quantile dotplot (Plinko), an animated design with a physical and probabilistic analogy. Our online experiment ran from Oct. 18, 2022, to Nov. 23, 2022, involving 1,327 participants from 15 states. We use Bayesian multilevel modeling and post-stratification to produce demographically-representative estimates of people's emotions, trust in forecasts, and political participation intention. We find that election forecast visualizations can heighten emotions, increase trust, and slightly affect people's intentions to participate in elections. 2-Interval shows the strongest effects across all measures; 1-Dotplot increases trust the most after elections. Both visualizations create emotional and trust gaps between different partisan identities, especially when a Republican candidate is predicted to win. Our qualitative analysis uncovers the complex political and social contexts of election forecast visualizations, showcasing that visualizations may provoke polarization. This intriguing interplay between visualization types, partisanship, and trust exemplifies the fundamental challenge of disentangling visualization from its context, underscoring a need for deeper investigation into the real-world impacts of visualizations. Our preprint and supplements are available at https://doi.org/osf.io/ajq8f.","1941-0506","","10.1109/TVCG.2023.3327356","NSF(grant numbers:IIS-2107490,IIS-1901485,IIS-2126598,2127309); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10309864","Uncertainty visualization;Probabilistic forecasts;Elections;Emotions;Trust;Political participation;Longitudinal study","Voting;Visualization;Uncertainty;Predictive models;Probabilistic logic;Sociology;Journalism","Humans;Bayes Theorem;Computer Graphics;Emotions;Intention;Longitudinal Studies;Trust;Politics;Forecasting","1","","92","IEEE","6 Nov 2023","","","IEEE","IEEE Journals"
"Vistrust: a Multidimensional Framework and Empirical Study of Trust in Data Visualizations","H. Elhamdadi; A. Stefkovics; J. Beyer; E. Moerth; H. Pfister; C. X. Bearfield; C. Nobre","UMass Amherst, USA; HUN-REN Centre for Social Sciences, USA; Harvard University, USA; Harvard Medical School, USA; Harvard University, USA; UMass Amherst, USA; University of Toronto, Canada",IEEE Transactions on Visualization and Computer Graphics,"25 Dec 2023","2024","30","1","348","358","Trust is an essential aspect of data visualization, as it plays a crucial role in the interpretation and decision-making processes of users. While research in social sciences outlines the multi-dimensional factors that can play a role in trust formation, most data visualization trust researchers employ a single-item scale to measure trust. We address this gap by proposing a comprehensive, multidimensional conceptualization and operationalization of trust in visualization. We do this by applying general theories of trust from social sciences, as well as synthesizing and extending earlier work and factors identified by studies in the visualization field. We apply a two-dimensional approach to trust in visualization, to distinguish between cognitive and affective elements, as well as between visualization and data-specific trust antecedents. We use our framework to design and run a large crowd-sourced study to quantify the role of visual complexity in establishing trust in science visualizations. Our study provides empirical evidence for several aspects of our proposed theoretical framework, most notably the impact of cognition, affective responses, and individual differences when establishing trust in visualizations.","1941-0506","","10.1109/TVCG.2023.3326579","NSF(grant numbers:IIS-1901030,IIS-2237585); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10308716","Trust;visualization;science;framework","Data visualization;Games;Particle measurements;Atmospheric measurements;Visualization;Investment;Computer science","","1","","62","IEEE","3 Nov 2023","","","IEEE","IEEE Journals"
"Evaluating Forecasting, Knowledge, and Visual Analytics","Y. Lu; M. Steptoe; V. Buchanan; N. Cooke; R. Maciejewski",Arizona State University; Arizona State University; Arizona State University; Arizona State University; Arizona State University,2021 IEEE Workshop on TRust and EXpertise in Visual Analytics (TREX),"26 Nov 2021","2021","","","32","39","In this paper, we explore the intersection of knowledge and the forecasting accuracy of humans when supported by visual analytics. We have recruited 40 experts in machine learning and trained them in the use of a box office forecasting visual analytics system. Our goal was to explore the impact of visual analytics and knowledge in human-machine forecasting. This paper reports on how participants explore and reason with data and develop a forecast when provided with a predictive model of middling performance (R2 ≈ .7). We vary the knowledge base of the participants through training, compare the forecasts to the baseline model, and discuss performance in the context of previous work on algorithmic aversion and trust.","","978-1-6654-1817-1","10.1109/TREX53765.2021.00011","U.S. Department of Homeland Security; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9619888","trust;knowledge;forecasting;visualization","Training;Visual analytics;Conferences;Knowledge based systems;Machine learning;Predictive models;Prediction algorithms","","1","","50","IEEE","26 Nov 2021","","","IEEE","IEEE Conferences"
"Exploring how Temporal Framing Affects Trust with Time-series Visualizations","T. Alves; C. Dias; D. Gonçalves; S. Gama","HUMAN Lab, Graphics and Interaction, INESC-ID, IST, University of Lisbon, Portugal; HUMAN Lab, Graphics and Interaction, INESC-ID, IST, University of Lisbon, Portugal; HUMAN Lab, Graphics and Interaction, INESC-ID, IST, University of Lisbon, Portugal; HUMAN Lab, Graphics and Interaction, INESC-ID, IST, University of Lisbon, Portugal",2022 International Conference on Graphics and Interaction (ICGI),"21 Dec 2022","2022","","","1","8","Trust is one of the most relevant factors when users build knowledge from visualization to predict whether they will use the represented information. In particular, trust perception is the user’s subjective evaluation of the quality and reliability of the visualized information. However, research leveraging information visualization techniques to study trust perception is limited. This work studies whether varying the temporal framing of line charts affects trust perception in an uncertain scenario. Our results suggest that granularity may be relevant for time-based visualization design. In particular, individuals trust more in a line chart with a higher number of data points and interact more with a line chart in which they trust less. These findings contribute to the state-of-the-art research in visual analytic systems by empowering designers to understand how trust perception in a health emergency scenario varies for line charts with different temporal frames.","","979-8-3503-4573-5","10.1109/ICGI57174.2022.9990428","Fundação para a Ciência e a Tecnologia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9990428","information visualization;trust;user interaction;time-series","Graphics;Visual analytics;Data visualization;Reliability","","","","31","IEEE","21 Dec 2022","","","IEEE","IEEE Conferences"
"Advancing Trust Visualisations for Wider Applicability and User Acceptance","O. Kulyk; B. M. Reinheimer; P. Gerber; F. Volk; M. Volkamer; M. Mühlhäuser","Technische Universität Darmstadt, Germany; Technische Universität Darmstadt, Germany; Technische Universität Darmstadt, Germany; Karlstad University, Sweden; Karlstad University, Sweden; Karlstad University, Sweden",2017 IEEE Trustcom/BigDataSE/ICESS,"11 Sep 2017","2017","","","562","569","There are only a few visualisations targeting the communication of trust statements. Even though there are some advanced and scientifically founded visualisations—like, for example, the opinion triangle, the human trust interface, and T-Viz—the stars interface known from e-commerce platforms is by far the most common one. In this paper, we propose two trust visualisations based on T-Viz, which was recently proposed and successfully evaluated in large user studies. Despite being the most promising proposal, its design is not primarily based on findings from human-computer interaction or cognitive psychology. Our visualisations aim to integrate such findings and to potentially improve decision making in terms of correctness and efficiency. A large user study reveals that our proposed visualisations outperform T-Viz in these factors.","2324-9013","978-1-5090-4906-6","10.1109/Trustcom/BigDataSE/ICESS.2017.285","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029488","Trust visualisation;user study;human-computer interaction","Visualization;Human computer interaction;Psychology;Color;Radar;Reliability engineering","","","","24","IEEE","11 Sep 2017","","","IEEE","IEEE Conferences"
"Exploring the impact of classification probabilities on users' trust in ambiguous instances","D. Dos Santos Ribeiro; G. D. J. Barbosa; M. Do Carmo Silva; H. Lopes; S. D. J. Barbosa","Department of Informatics PUC-Rio, Rio de Janeiro, Brazil; Department of Informatics PUC-Rio, Rio de Janeiro, Brazil; Department of Informatics PUC-Rio, Rio de Janeiro, Brazil; Department of Informatics PUC-Rio, Rio de Janeiro, Brazil; Department of Informatics PUC-Rio, Rio de Janeiro, Brazil",2021 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),"29 Oct 2021","2021","","","1","9","The large-scale adoption of systems that automate classifications using Machine Learning (ML) algorithms raises pressing challenges as they support or make decisions with profound consequences for human beings. It is important to understand how users' trust is affected by ML models' suggestions, even when those models are wrong. Many research efforts have focused on the user's ability to interpret what a model has learned. In this paper, we seek to understand another aspect of ML interpretability: how the presence of classification probabilities affects users' trust in the model outcomes, especially in ambiguous instances. To this end, we conducted an online survey in which we asked participants to evaluate their agreement with an automatic classification made by an ML model before and after presenting them the model classification probabilities. Surprisingly, we found that, in ambiguous instances, respondents agreed more with incorrect model outcomes than with correct ones, requiring further analyses.","1943-6106","978-1-6654-4592-4","10.1109/VL/HCC51201.2021.9576291","National Council for Scientific and Technological Development (CNPq); Coordenação de Aperfeiçoamento de Pessoal de Nível Superior - Brasil (CAPES); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9576291","data visualization;trust;human-centered machine learning;human-centered AI","Visualization;Analytical models;Machine learning algorithms;Computational modeling;Data visualization;Pressing;Machine learning","","","","24","IEEE","29 Oct 2021","","","IEEE","IEEE Conferences"
"LLM Comparator: Interactive Analysis of Side-by-Side Evaluation of Large Language Models","M. Kahng; I. Tenney; M. Pushkarna; M. X. Liu; J. Wexler; E. Reif; K. Kallarackal; M. Chang; M. Terry; L. Dixon","Google Research, USA; Google Research, USA; Google Research, USA; Google Research, USA; Google Research, USA; Google Research, USA; Google Research, USA; Google Research, USA; Google Research, USA; Google Research, USA",IEEE Transactions on Visualization and Computer Graphics,"","2024","PP","99","1","11","Evaluating large language models (LLMs) presents unique challenges. While automatic side-by-side evaluation, also known as LLM-as-a-judge, has become a promising solution, model developers and researchers face difficulties with scalability and interpretability when analyzing these evaluation outcomes. To address these challenges, we introduce LLM Comparator, a new visual analytics tool designed for side-by-side evaluations of LLMs. This tool provides analytical workflows that help users understand when and why one LLM outperforms or underperforms another, and how their responses differ. Through close collaboration with practitioners developing LLMs at Google, we have iteratively designed, developed, and refined the tool. Qualitative feedback from these users highlights that the tool facilitates in-depth analysis of individual examples while enabling users to visually overview and flexibly slice data. This empowers users to identify undesirable patterns, formulate hypotheses about model behavior, and gain insights for model improvement. LLM Comparator has been integrated into Google's LLM evaluation platforms and open-sourced","1941-0506","","10.1109/TVCG.2024.3456354","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10670495","Visual analytics;large language models;model evaluation;responsible AI;machine learning interpretability","Internet;Analytical models;Pipelines;Large language models;Oral communication;Numerical models;Feature extraction","","","","","CCBY","10 Sep 2024","","","IEEE","IEEE Early Access Articles"
"D-BIAS: A Causality-Based Human-in-the-Loop System for Tackling Algorithmic Bias","B. Ghai; K. Mueller","Computer Science department, Stony Brook University, USA; Computer Science department, Stony Brook University, USA",IEEE Transactions on Visualization and Computer Graphics,"16 Dec 2022","2023","29","1","473","482","With the rise of AI, algorithms have become better at learning underlying patterns from the training data including ingrained social biases based on gender, race, etc. Deployment of such algorithms to domains such as hiring, healthcare, law enforcement, etc. has raised serious concerns about fairness, accountability, trust and interpretability in machine learning algorithms. To alleviate this problem, we propose D-BIAS, a visual interactive tool that embodies human-in-the-loop AI approach for auditing and mitigating social biases from tabular datasets. It uses a graphical causal model to represent causal relationships among different features in the dataset and as a medium to inject domain knowledge. A user can detect the presence of bias against a group, say females, or a subgroup, say black females, by identifying unfair causal relationships in the causal network and using an array of fairness metrics. Thereafter, the user can mitigate bias by refining the causal model and acting on the unfair causal edges. For each interaction, say weakening/deleting a biased causal edge, the system uses a novel method to simulate a new (debiased) dataset based on the current causal model while ensuring a minimal change from the original dataset. Users can visually assess the impact of their interactions on different fairness metrics, utility metrics, data distortion, and the underlying data distribution. Once satisfied, they can download the debiased dataset and use it for any downstream application for fairer predictions. We evaluate D-BIAS by conducting experiments on 3 datasets and also a formal user study. We found that D-BIAS helps reduce bias significantly compared to the baseline debiasing approach across different fairness metrics while incurring little data distortion and a small loss in utility. Moreover, our human-in-the-loop based approach significantly outperforms an automated approach on trust, interpretability and accountability.","1941-0506","","10.1109/TVCG.2022.3209484","NSF(grant numbers:CNS 1900706,IIS 1527200,IIS 1941613); NSF(grant numbers:1926949); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9903601","Algorithmic Fairness;Causality;Debiasing;Human-in-the-loop;Visual Analytics","Measurement;Visualization;Mathematical models;Human in the loop;Distortion;Data models;Machine learning algorithms","Female;Humans;Computer Graphics;Causality;Algorithms;Machine Learning;Bias","11","","50","IEEE","26 Sep 2022","","","IEEE","IEEE Journals"
